Company,Job Title,Date Applied,Job URL
Enova,Développeur frontend (React),16/01/2025,https://www.linkedin.com/jobs/view/4127513028/
Signify Technology,Software Engineer,16/01/2025,https://www.linkedin.com/jobs/view/4117115686/
Nicoll Curtin,"Frontend Developer, Verified",16/01/2025,https://www.linkedin.com/jobs/view/4119567641/
Ivy Partners,"React Frontend Developer and Test Engineer, Verified",16/01/2025,https://www.linkedin.com/jobs/view/4125750056/
Tree Top Staffing LLC,Software Developer,15/01/2025,https://www.linkedin.com/jobs/view/4125760067/
SII Group Switzerland,Full-Stack Developer,15/01/2025,https://www.linkedin.com/jobs/view/4122630269/
AISO,Fullstack Developpeur,14/01/2025,https://www.linkedin.com/jobs/view/4124733162/
AISO,Fullstack Developpeur,14/01/2025,https://www.linkedin.com/jobs/view/4124720659/
IMTF - Excellence in RegTech Solutions,Frontend Software Engineer,14/01/2025,https://www.linkedin.com/jobs/view/4122022929/
NonStop Consulting,"Full Stack Developer - 6 month contract, Verified",13/01/2025,https://www.linkedin.com/jobs/view/4118652673/
Understanding Recruitment,"Lead Frontend Engineer, Verified",13/01/2025,https://www.linkedin.com/jobs/view/4102936376/
Helio AG - Cloud Rendering,Senior Frontend Developer,13/01/2025,https://www.linkedin.com/jobs/view/4121100997/
FICOBA SA,Developer API,11/01/2025,https://www.linkedin.com/jobs/view/4120588433/
TEAM PARTNERS Suisse SA - Groupe BLUESOFT,"Fullstack Developer (Python & React), Verified",10/01/2025,https://www.linkedin.com/jobs/view/4112635971/
RJC Group,Full Stack Engineer,10/01/2025,https://www.linkedin.com/jobs/view/4117250594/
Ivy Partners,"Python Developer, Verified",10/01/2025,https://www.linkedin.com/jobs/view/4106464053/
ASTRELYA,"Ingénieur logiciel/Ingénieure logiciel, Verified",03/01/2025,https://www.linkedin.com/jobs/view/4106491804/
Tree Top Staffing LLC,Software Developer,03/01/2025,https://www.linkedin.com/jobs/view/4111220667/
Nordwand Group - the IT & Finance Recruitment Company,Fullstack Software Engineer,03/01/2025,https://www.linkedin.com/jobs/view/4110049482/
Darwin Partners,Développeur Node.js / React,27/12/2024,https://www.linkedin.com/jobs/view/4106731480/
Hoshī,Fullstack Software Engineer (Front-End Focused),27/12/2024,https://www.linkedin.com/jobs/view/4104161069/
ALTEN Switzerland,"Back-end Software Engineer, Verified",27/12/2024,https://www.linkedin.com/jobs/view/4104362329/
Ivy Partners,"Full Stack Engineer, Verified",27/12/2024,https://www.linkedin.com/jobs/view/4106455989/
Code Compass 🧭,Python Engineer (80%-100%) - Zurich,20/12/2024,https://www.linkedin.com/jobs/view/4091948461/
Qim info,"Développeur JavaScript, Verified",20/12/2024,https://www.linkedin.com/jobs/view/4083028740/
Noir,"Javascript Developer, React - Zurich, Verified",18/12/2024,https://www.linkedin.com/jobs/view/4099918764/
Lombard Odier Group,"Full Stack Software Engineer, Verified",18/12/2024,https://www.linkedin.com/jobs/view/4086480660/
Tegona SA,Développeur-se Full Stack Python/Django/React/C# - Industrial Embedded Systems,18/12/2024,https://www.linkedin.com/jobs/view/4056102810/
Nicoll Curtin,"Django Developer, Verified",18/12/2024,https://www.linkedin.com/jobs/view/4092826368/
Nicoll Curtin,"Back End Developer, Verified",18/12/2024,https://www.linkedin.com/jobs/view/4092827066/
Radley James,Python Developer - Trading firm,18/12/2024,https://www.linkedin.com/jobs/view/4088452366/
Sigma Suisse,Full Stack Developer (python react),18/12/2024,https://www.linkedin.com/jobs/view/4093649918/
PastaHR,Full Stack Engineer,18/12/2024,https://www.linkedin.com/jobs/view/4082471347/
Nicoll Curtin,"Django Developer, Verified",18/12/2024,https://www.linkedin.com/jobs/view/4081109069/
Selby Jennings,"Software Engineer, Verified",18/12/2024,https://www.linkedin.com/jobs/view/4092584073/
Noir,"Javascript Developer, React - Zurich, Verified",18/12/2024,https://www.linkedin.com/jobs/view/4092111389/
Noir,"Full Stack Developer, Verified",18/12/2024,https://www.linkedin.com/jobs/view/4092110484/
Noir,"Frontend Developer – Bern, Verified",18/12/2024,https://www.linkedin.com/jobs/view/4090320775/
Noir,"Frontend Developer – Zurich, Verified",18/12/2024,https://www.linkedin.com/jobs/view/4090320705/
Noir,"Frontend Developer – Basel, Verified",18/12/2024,https://www.linkedin.com/jobs/view/4090322269/
API SA,"Développeur-euse PHP, Verified",18/12/2024,https://www.linkedin.com/jobs/view/4090116710/
Vitol,"Fullstack Developer (Python & React), Verified",18/12/2024,https://www.linkedin.com/jobs/view/4079760626/
Nozomi Networks,"Fullstack Software Engineer, Verified",18/12/2024,https://www.linkedin.com/jobs/view/3756003624/
Firstcaution SA,Full-Stack Web Developer,18/12/2024,https://www.linkedin.com/jobs/view/4089944141/
Sigma Suisse,Full Stack Developer (python react),18/12/2024,https://www.linkedin.com/jobs/view/4079756673/
RJC Group,Senior Python Developer - React / SQL,18/12/2024,https://www.linkedin.com/jobs/view/4082001493/
twofold,Berufsbildner:in Frontend Developer (M/W/D),18/12/2024,https://www.linkedin.com/jobs/view/4081882813/
Portmind,Senior Frontend Engineer - React,18/12/2024,https://www.linkedin.com/jobs/view/4080505101/
Maverix,Senior Frontend Developer,18/11/2024,https://www.linkedin.com/jobs/view/4074724635/
Talent Sutra,Full Stack Engineer,18/12/2024,https://www.linkedin.com/jobs/view/4079347076/
Noir,"Frontend Developer – Zurich, Verified",18/12/2024,https://www.linkedin.com/jobs/view/4075015815/
Noir,"Javascript Developer, React - Zurich, Verified",18/12/2024,https://www.linkedin.com/jobs/view/4077424331/
Experis Switzerland,Experienced Full Stack Web Developer,18/12/2024,https://www.linkedin.com/jobs/view/4070704723/
Noir,"Full Stack Developer, Verified",18/12/2024,https://www.linkedin.com/jobs/view/4077387391/
Nicoll Curtin,"Django Developer, Verified",18/12/2024,https://www.linkedin.com/jobs/view/4054968152/
Nicoll Curtin,"Python Developer, Verified",18/12/2024,https://www.linkedin.com/jobs/view/4077503314/
Nicoll Curtin,"Python Software Engineer, Verified",18/12/2024,https://www.linkedin.com/jobs/view/4077179684/
Ivy Partners,"Full Stack Engineer, Verified",18/11/2024,https://www.linkedin.com/jobs/view/4074089477/
Panda International,"Full Stack Developer, Verified",18/11/2024,https://www.linkedin.com/jobs/view/4071139044/
Highbrow Technology Inc,Full Stack Engineer,18/11/2024,https://www.linkedin.com/jobs/view/4064782718/
GeniusCount,Développeur Full-Stack avec expertise en indexation et technologies Big Data,18/11/2024,https://www.linkedin.com/jobs/view/3841871508/
Firstcaution SA,Full-Stack Web Developer (Site Management),18/11/2024,https://www.linkedin.com/jobs/view/4040169128/
Xcede,Full Stack Engineer,18/11/2024,https://www.linkedin.com/jobs/view/4042592257/
ALPINA+SANA,Software Engineer,18/11/2024,https://www.linkedin.com/jobs/view/4056439011/
Options Group,"Quantitative Developer - Energy - Geneva, Verified",18/11/2024,https://www.linkedin.com/jobs/view/4059073959/
Nava Consulting,Senior Web Developer,18/11/2024,https://www.linkedin.com/jobs/view/4054949938/
Ranova,Back End Developer,18/11/2024,https://www.linkedin.com/jobs/view/4055070390/
Ocho,"Front-End Developer (React/TypeScript, E-commerce)",18/11/2024,https://www.linkedin.com/jobs/view/4055310584/
TechFirm Information Systems,Développeur séniors Next.JS/TypeScript,18/11/2024,https://www.linkedin.com/jobs/view/4051586111/
TRIVAL-SERVICES SA,Ingénieur Full Stack/Ingénieure Full Stack,18/11/2024,https://www.linkedin.com/jobs/view/4042943634/
Noir,"Full Stack Developer, Verified",18/11/2024,https://www.linkedin.com/jobs/view/4051867204/
Nicoll Curtin,"Python Developer, Verified",18/11/2024,https://www.linkedin.com/jobs/view/4050242788/
Experis Switzerland,Senior Frontend Developer,19/10/2024,https://www.linkedin.com/jobs/view/4052051932/
GreenUp Consulting,Développeur full stack .net,19/10/2024,https://www.linkedin.com/jobs/view/4048066948/
Noir,"Full Stack Developer - Lucerne, Verified",19/10/2024,https://www.linkedin.com/jobs/view/4049220210/
Proclinical Staffing,"Lead Web Developer, Verified",19/10/2024,https://www.linkedin.com/jobs/view/4040028456/
Nicoll Curtin,"Sharepoint Developer, Verified",19/10/2024,https://www.linkedin.com/jobs/view/4047649914/
Infoplus Technologies UK Limited,Frontend Developer,19/10/2024,https://www.linkedin.com/jobs/view/4042567723/
SmartChoice International Limited,Frontend Developer,19/10/2024,https://www.linkedin.com/jobs/view/4040858273/
Avance Consulting,Frontend Developer,19/10/2024,https://www.linkedin.com/jobs/view/4040407444/
Merkle,"Senior Frontend Engineer | Join our Talent Community, Verified",19/10/2024,https://www.linkedin.com/jobs/view/4015969473/
Merkle,"Senior Frontend Engineer | Join our Talent Community, Verified",19/10/2024,https://www.linkedin.com/jobs/view/4015965060/
Elize Partners,Full Stack Engineer,19/10/2024,https://www.linkedin.com/jobs/view/4042812003/
iO Associates - UK/EU,Fullstack Developer,19/10/2024,https://www.linkedin.com/jobs/view/4033264659/
RED Global,"Frontend Developer, Verified",19/10/2024,https://www.linkedin.com/jobs/view/4035218796/
Coopers Group AG,Full Stack Developer (Go & React),19/10/2024,https://www.linkedin.com/jobs/view/4027407160/
UpQuAI Solutions AG,Full Stack Engineer,19/10/2024,https://www.linkedin.com/jobs/view/3946398115/
Akkodis,"Frontend Developer, Verified",19/10/2024,https://www.linkedin.com/jobs/view/4022860431/
W Talent,Frontend Software Engineer,19/10/2024,https://www.linkedin.com/jobs/view/4027231267/
SWISSTECH Recruitment,TypeScript Developer,19/10/2024,https://www.linkedin.com/jobs/view/4039350416/
Cerrion,Frontend Engineer at YC-backed AI startup,19/10/2024,https://www.linkedin.com/jobs/view/4038913118/
Radley James,React Developer,19/10/2024,https://www.linkedin.com/jobs/view/4038548293/
Jaisan IT Solutions Ltd,Frontend Developer,19/10/2024,https://www.linkedin.com/jobs/view/4037166619/
Swissquote,"Front-End Software Engineer, Verified",19/10/2024,https://www.linkedin.com/jobs/view/4038493340/
Radley James,React Developer,19/09/2024,https://www.linkedin.com/jobs/view/4003376834/
Radley James,React Developer,20/08/2024,https://www.linkedin.com/jobs/view/3986529712/
RJC Group,Python Developer,20/08/2024,https://www.linkedin.com/jobs/view/3987526193/
Bucher + Suter,"Typescript / Javascript Developer, Verified",20/08/2024,https://www.linkedin.com/jobs/view/3974298944/
Gridonic,Frontend Engineer (80-100%),20/08/2024,https://www.linkedin.com/jobs/view/3918376110/
Noir,"Frontend Developer – Zurich, Verified",20/08/2024,https://www.linkedin.com/jobs/view/3982057861/
Nicoll Curtin,"Full Stack Engineer, Verified",20/08/2024,https://www.linkedin.com/jobs/view/3984376241/
Venchr,Frontend Developer,20/08/2024,https://www.linkedin.com/jobs/view/3966868982/
Noir,"Full Stack Developer, Verified",20/08/2024,https://www.linkedin.com/jobs/view/3980238739/
Noir,"Full Stack Developer - Lucerne, Verified",20/08/2024,https://www.linkedin.com/jobs/view/3980240362/
Noir,"Full Stack Developer, Verified",20/08/2024,https://www.linkedin.com/jobs/view/3980239419/
Noir,"Frontend Developer – Bern, Verified",20/08/2024,https://www.linkedin.com/jobs/view/3979361191/
Noir,"Frontend Developer – Zurich, Verified",20/08/2024,https://www.linkedin.com/jobs/view/3979355808/
Noir,"Frontend Developer – Lucerne, Verified",20/08/2024,https://www.linkedin.com/jobs/view/3979361363/
Noir,"Full Stack Engineer, Verified",20/08/2024,https://www.linkedin.com/jobs/view/3980201785/
Radley James,Python Developer,20/08/2024,https://www.linkedin.com/jobs/view/3982173724/
Vitol,"Fullstack Developer (Python & React), Verified",20/08/2024,https://www.linkedin.com/jobs/view/3916730255/
Ivy Partners,"Frontend Developer, Verified",20/08/2024,https://www.linkedin.com/jobs/view/3964531796/
Templeton & Partners - Innovative & Inclusive Hiring Solutions,Software Engineer,20/08/2024,https://www.linkedin.com/jobs/view/3967890836/
Nicoll Curtin,"Full Stack Engineer, Verified",20/08/2024,https://www.linkedin.com/jobs/view/3965548221/
Radley James,Javascript Developer,21/07/2024,https://www.linkedin.com/jobs/view/3977574089/
Accenture,"Frontend Engineer, Verified",21/07/2024,https://www.linkedin.com/jobs/view/3975167687/
Ivy Partners,"Frontend Developer, Verified",21/07/2024,https://www.linkedin.com/jobs/view/3958373184/
Radley James,Javascript Developer,21/07/2024,https://www.linkedin.com/jobs/view/3964226705/
Ivy Partners,"Python Developer, Verified",22/05/2024,https://www.linkedin.com/jobs/view/3892765975/
CTO as a Service,PHP Full Stack Developer,23/03/2024,https://www.linkedin.com/jobs/view/3829959736/
